Unique_Sample_ID,Condition_Name,t#,Data_File,Well_Number,Time_Point,Blank_Unique_Sample_ID,Total_Concentration,Wavelength_Start,Wavelength_End,Isosbestic_Point,Reference_Spectrum_Substrate,Reference_Spectrum_Product,Replicate
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
RTG19_1,air,,./lab-data-processed/cary300/2025-02/RTG19/2025-02-24-RTG19-air-1.tsv,Abs,0,blank_RTG19_5,1,250,349,-1,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uridine-x24-x33.csv,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uracil-x25-x33.csv,1
RTG19_13,water,,./lab-data-processed/cary300/2025-02/RTG19/2025-02-24-RTG19-water-13.tsv,Abs,0,blank_RTG19_5,1,250,349,-1,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uridine-x24-x33.csv,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uracil-x25-x33.csv,1
RTG19_18,water,,./lab-data-processed/cary300/2025-02/RTG19/2025-02-24-RTG19-water-18.tsv,Abs,1,blank_RTG19_5,1,250,349,-1,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uridine-x24-x33.csv,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uracil-x25-x33.csv,1
RTG19_23,water,,./lab-data-processed/cary300/2025-02/RTG19/2025-02-24-RTG19-water-23.tsv,Abs,2,blank_RTG19_5,1,250,349,-1,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uridine-x24-x33.csv,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uracil-x25-x33.csv,1
RTG19_26,water,,./lab-data-processed/cary300/2025-02/RTG19/2025-02-24-RTG19-water-26.tsv,Abs,3,blank_RTG19_5,1,250,349,-1,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uridine-x24-x33.csv,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uracil-x25-x33.csv,1
RTG19_2,water,,./lab-data-processed/cary300/2025-02/RTG19/2025-02-24-RTG19-water-2.tsv,Abs,4,blank_RTG19_5,1,250,349,-1,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uridine-x24-x33.csv,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uracil-x25-x33.csv,1
RTG19_4,water,,./lab-data-processed/cary300/2025-02/RTG19/2025-02-24-RTG19-water-4.tsv,Abs,5,blank_RTG19_5,1,250,349,-1,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uridine-x24-x33.csv,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uracil-x25-x33.csv,1
RTG19_8,water,,./lab-data-processed/cary300/2025-02/RTG19/2025-02-24-RTG19-water-8.tsv,Abs,6,blank_RTG19_5,1,250,349,-1,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uridine-x24-x33.csv,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uracil-x25-x33.csv,1
