Unique_Sample_ID,Condition_Name,Data_File,Well_Number,Time_Point,Blank_Unique_Sample_ID,Total_Concentration,Wavelength_Start,Wavelength_End,Isosbestic_Point,Reference_Spectrum_Substrate,Reference_Spectrum_Product,Replicate
2024-05-14-RTG4-empty-cuvette-2,blank,./lab-data-processed/cary300/2024-05/2024-05-14-RTG4-empty-cuvette-2.tsv,Abs,0,nan,nan,220,349,nan,,,1
Urd100 Ura 0,Urd,./lab-data-processed/cary300/2024-05/2024-05-14-RTG4-30ul-urd-3.tsv,Abs,100,2024-05-14-RTG4-empty-cuvette-2,1,220,349,271,./lab-data-reference-spectra/Urd__20_uL_reaction_solution_in_500_uL_NaOH_100_mM.csv,./lab-data-reference-spectra/Ura__20_uL_reaction_solution_in_500_uL_NaOH_100_mM.csv,1
Urd0 Ura100,Ura,./lab-data-processed/cary300/2024-05/2024-05-14-RTG4-urd0-ura100-12.tsv,Abs,0,2024-05-14-RTG4-empty-cuvette-2,1,220,349,271,./lab-data-reference-spectra/Urd__20_uL_reaction_solution_in_500_uL_NaOH_100_mM.csv,./lab-data-reference-spectra/Ura__20_uL_reaction_solution_in_500_uL_NaOH_100_mM.csv,1
