Unique_Sample_ID,Condition_Name,t#,Data_File,Well_Number,Time_Point,Blank_Unique_Sample_ID,Total_Concentration,Wavelength_Start,Wavelength_End,Isosbestic_Point,Reference_Spectrum_Substrate,Reference_Spectrum_Product,Replicate
RTG16_43,x65,t1,./lab-data-processed/cary300/2024-11/RTG16/2024-11-22-RTG16-x65-t1-43.tsv,Abs,2,blank1,1,250,349,-1,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uridine-x24-x33.csv,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uracil-x25-x33.csv,1
RTG16_44,x65,t2,./lab-data-processed/cary300/2024-11/RTG16/2024-11-22-RTG16-x65-t2-44.tsv,Abs,5,blank1,1,250,349,-1,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uridine-x24-x33.csv,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uracil-x25-x33.csv,1
RTG16_45,x65,t3,./lab-data-processed/cary300/2024-11/RTG16/2024-11-22-RTG16-x65-t3-45.tsv,Abs,8,blank1,1,250,349,-1,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uridine-x24-x33.csv,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uracil-x25-x33.csv,1
RTG16_47,x65,t4,./lab-data-processed/cary300/2024-11/RTG16/2024-11-22-RTG16-x65-t4-47.tsv,Abs,15,blank1,1,250,349,-1,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uridine-x24-x33.csv,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uracil-x25-x33.csv,1
RTG16_48,x65,t5,./lab-data-processed/cary300/2024-11/RTG16/2024-11-22-RTG16-x65-t5-48.tsv,Abs,25,blank1,1,250,349,-1,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uridine-x24-x33.csv,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uracil-x25-x33.csv,1
RTG16_49,x65,t6,./lab-data-processed/cary300/2024-11/RTG16/2024-11-22-RTG16-x65-t6-49.tsv,Abs,36,blank1,1,250,349,-1,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uridine-x24-x33.csv,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uracil-x25-x33.csv,1
RTG16_50,x65,t7,./lab-data-processed/cary300/2024-11/RTG16/2024-11-22-RTG16-x65-t7-50.tsv,Abs,47,blank1,1,250,349,-1,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uridine-x24-x33.csv,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uracil-x25-x33.csv,1
RTG16_51,x65,t8,./lab-data-processed/cary300/2024-11/RTG16/2024-11-22-RTG16-x65-t8-51.tsv,Abs,58,blank1,1,250,349,-1,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uridine-x24-x33.csv,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uracil-x25-x33.csv,1
RTG16_52,x65,t9,./lab-data-processed/cary300/2024-11/RTG16/2024-11-22-RTG16-x65-t9-52.tsv,Abs,62,blank1,1,250,349,-1,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uridine-x24-x33.csv,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uracil-x25-x33.csv,1
RTG16_58,x66,t0,./lab-data-processed/cary300/2024-11/RTG16/2024-11-22-RTG16-x66-t0-58.tsv,Abs,0,blank2,1,250,349,-1,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uridine-x24-x33.csv,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uracil-x25-x33.csv,1
RTG16_70,x66,t10,./lab-data-processed/cary300/2024-11/RTG16/2024-11-22-RTG16-x66-t10-70.tsv,Abs,64,blank2,1,250,349,-1,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uridine-x24-x33.csv,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uracil-x25-x33.csv,1
RTG16_59,x66,t1,./lab-data-processed/cary300/2024-11/RTG16/2024-11-22-RTG16-x66-t1-59.tsv,Abs,2,blank2,1,250,349,-1,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uridine-x24-x33.csv,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uracil-x25-x33.csv,1
RTG16_60,x66,t2,./lab-data-processed/cary300/2024-11/RTG16/2024-11-22-RTG16-x66-t2-60.tsv,Abs,5,blank2,1,250,349,-1,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uridine-x24-x33.csv,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uracil-x25-x33.csv,1
RTG16_61,x66,t3,./lab-data-processed/cary300/2024-11/RTG16/2024-11-22-RTG16-x66-t3-61.tsv,Abs,8,blank2,1,250,349,-1,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uridine-x24-x33.csv,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uracil-x25-x33.csv,1
RTG16_62,x66,t4,./lab-data-processed/cary300/2024-11/RTG16/2024-11-22-RTG16-x66-t4-62.tsv,Abs,15,blank2,1,250,349,-1,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uridine-x24-x33.csv,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uracil-x25-x33.csv,1
RTG16_63,x66,t5,./lab-data-processed/cary300/2024-11/RTG16/2024-11-22-RTG16-x66-t5-63.tsv,Abs,25,blank2,1,250,349,-1,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uridine-x24-x33.csv,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uracil-x25-x33.csv,1
RTG16_65,x66,t6,./lab-data-processed/cary300/2024-11/RTG16/2024-11-22-RTG16-x66-t6-65.tsv,Abs,36,blank2,1,250,349,-1,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uridine-x24-x33.csv,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uracil-x25-x33.csv,1
RTG16_67,x66,t7,./lab-data-processed/cary300/2024-11/RTG16/2024-11-22-RTG16-x66-t7-67.tsv,Abs,47,blank2,1,250,349,-1,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uridine-x24-x33.csv,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uracil-x25-x33.csv,1
RTG16_68,x66,t8,./lab-data-processed/cary300/2024-11/RTG16/2024-11-22-RTG16-x66-t8-68.tsv,Abs,58,blank2,1,250,349,-1,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uridine-x24-x33.csv,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uracil-x25-x33.csv,1
RTG16_69,x66,t9,./lab-data-processed/cary300/2024-11/RTG16/2024-11-22-RTG16-x66-t9-69.tsv,Abs,62,blank2,1,250,349,-1,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uridine-x24-x33.csv,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uracil-x25-x33.csv,1
RTG16_72,x67,t0,./lab-data-processed/cary300/2024-11/RTG16/2024-11-22-RTG16-x67-t0-72.tsv,Abs,0,blank2,1,250,349,-1,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uridine-x24-x33.csv,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uracil-x25-x33.csv,1
RTG16_82,x67,t10,./lab-data-processed/cary300/2024-11/RTG16/2024-11-22-RTG16-x67-t10-82.tsv,Abs,64,blank2,1,250,349,-1,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uridine-x24-x33.csv,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uracil-x25-x33.csv,1
RTG16_73,x67,t1,./lab-data-processed/cary300/2024-11/RTG16/2024-11-22-RTG16-x67-t1-73.tsv,Abs,2,blank2,1,250,349,-1,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uridine-x24-x33.csv,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uracil-x25-x33.csv,1
RTG16_74,x67,t2,./lab-data-processed/cary300/2024-11/RTG16/2024-11-22-RTG16-x67-t2-74.tsv,Abs,5,blank2,1,250,349,-1,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uridine-x24-x33.csv,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uracil-x25-x33.csv,1
RTG16_75,x67,t3,./lab-data-processed/cary300/2024-11/RTG16/2024-11-22-RTG16-x67-t3-75.tsv,Abs,8,blank2,1,250,349,-1,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uridine-x24-x33.csv,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uracil-x25-x33.csv,1
RTG16_76,x67,t4,./lab-data-processed/cary300/2024-11/RTG16/2024-11-22-RTG16-x67-t4-76.tsv,Abs,15,blank2,1,250,349,-1,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uridine-x24-x33.csv,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uracil-x25-x33.csv,1
RTG16_77,x67,t5,./lab-data-processed/cary300/2024-11/RTG16/2024-11-22-RTG16-x67-t5-77.tsv,Abs,25,blank2,1,250,349,-1,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uridine-x24-x33.csv,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uracil-x25-x33.csv,1
RTG16_78,x67,t6,./lab-data-processed/cary300/2024-11/RTG16/2024-11-22-RTG16-x67-t6-78.tsv,Abs,36,blank2,1,250,349,-1,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uridine-x24-x33.csv,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uracil-x25-x33.csv,1
RTG16_79,x67,t7,./lab-data-processed/cary300/2024-11/RTG16/2024-11-22-RTG16-x67-t7-79.tsv,Abs,47,blank2,1,250,349,-1,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uridine-x24-x33.csv,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uracil-x25-x33.csv,1
RTG16_80,x67,t8,./lab-data-processed/cary300/2024-11/RTG16/2024-11-22-RTG16-x67-t8-80.tsv,Abs,58,blank2,1,250,349,-1,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uridine-x24-x33.csv,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uracil-x25-x33.csv,1
RTG16_81,x67,t9,./lab-data-processed/cary300/2024-11/RTG16/2024-11-22-RTG16-x67-t9-81.tsv,Abs,62,blank2,1,250,349,-1,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uridine-x24-x33.csv,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uracil-x25-x33.csv,1
